distances,SR_m1_key_rates,TPT_m1_key_rates,MD_key_rates
0.00100000,0.05612554,0.08918802,0.17307715
0.50350754,0.05365941,0.08691568,0.16802246
1.00601508,0.05131234,0.08474230,0.16316858
1.50852261,0.04907603,0.08266085,0.15850293
2.01103015,0.04694297,0.08066500,0.15401405
2.51353769,0.04490635,0.07874901,0.14969147
3.01604523,0.04295997,0.07690767,0.14552560
3.51855276,0.04109816,0.07513622,0.14150765
4.02106030,0.03931574,0.07343034,0.13762952
4.52356784,0.03760797,0.07178605,0.13388374
5.02607538,0.03597048,0.07019973,0.13026342
5.52858291,0.03439926,0.06866803,0.12676216
6.03109045,0.03289059,0.06718787,0.12337406
6.53359799,0.03144106,0.06575641,0.12009360
7.03610553,0.03004749,0.06437104,0.11691568
7.53861307,0.02870693,0.06302932,0.11383550
8.04112060,0.02741666,0.06172900,0.11084864
8.54362814,0.02617411,0.06046799,0.10795091
9.04613568,0.02497693,0.05924434,0.10513842
9.54864322,0.02382290,0.05805625,0.10240751
10.05115075,0.02270995,0.05690203,0.09975476
10.55365829,0.02163615,0.05578008,0.09717694
11.05616583,0.02059967,0.05468895,0.09467101
11.55867337,0.01959881,0.05362723,0.09223412
12.06118090,0.01863198,0.05259365,0.08986356
12.56368844,0.01769768,0.05158698,0.08755679
13.06619598,0.01679447,0.05060607,0.08531141
13.56870352,0.01592104,0.04964986,0.08312513
14.07121106,0.01507612,0.04871732,0.08099580
14.57371859,0.01425853,0.04780751,0.07892137
15.07622613,0.01346713,0.04691952,0.07689991
15.57873367,0.01270087,0.04605250,0.07492957
16.08124121,0.01195874,0.04520565,0.07300859
16.58374874,0.01123979,0.04437820,0.07113531
17.08625628,0.01054310,0.04356944,0.06930814
17.58876382,0.00986783,0.04277867,0.06752558
18.09127136,0.00921315,0.04200526,0.06578617
18.59377889,0.00857829,0.04124858,0.06408854
19.09628643,0.00796252,0.04050806,0.06243138
19.59879397,0.00736512,0.03978313,0.06081342
20.10130151,0.00678542,0.03907327,0.05923348
20.60380905,0.00622280,0.03837798,0.05769038
21.10631658,0.00567664,0.03769677,0.05618305
21.60882412,0.00514636,0.03702919,0.05471041
22.11133166,0.00463140,0.03637480,0.05327146
22.61383920,0.00413124,0.03573318,0.05186522
23.11634673,0.00364536,0.03510394,0.05049076
23.61885427,0.00317329,0.03448670,0.04914719
24.12136181,0.00271454,0.03388109,0.04783365
24.62386935,0.00226869,0.03328676,0.04654930
25.12637688,0.00183531,0.03270339,0.04529335
25.62888442,0.00141397,0.03213065,0.04406504
26.13139196,0.00100430,0.03156824,0.04286362
26.63389950,0.00060592,0.03101586,0.04168838
27.13640704,0.00021846,0.03047324,0.04053864
27.63891457,-0.00015843,0.02994010,0.03941373
28.14142211,-0.00052507,0.02941618,0.03831301
28.64392965,-0.00088179,0.02890124,0.03723587
29.14643719,-0.00122889,0.02839503,0.03618172
29.64894472,-0.00156668,0.02789733,0.03514997
30.15145226,-0.00189544,0.02740791,0.03414007
30.65395980,-0.00221544,0.02692656,0.03315148
31.15646734,-0.00252695,0.02645307,0.03218368
31.65897487,-0.00283024,0.02598725,0.03123617
32.16148241,-0.00312558,0.02552891,0.03030845
